0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
26.786022,29.005792,14.575594,25.596834,29.356257,26.15565,18.475137,9.452226,21.881695,24.623831,21.269257,7.490767,7.333116,16.162961,19.282846,16.231322,8.838428,4.004268,7.218891,19.110167,19.717362,10.15216,21.994167,27.454516,22.992973,12.148578,7.084464,18.954862,21.988244,18.206866,5.932811,6.363588,14.239985,17.101477,13.923487,8.074332,3.630993,5.946302,17.850926,18.081976,10.6085,21.160899,22.9732,20.264768,12.390245,6.056642,26.688395,22.587195,21.706527,5.751093,11.539014,25.409733,31.161538,30.433142,22.788751,11.62663,15.971036,10.228996,10.576956,12.630783,12.276912,12.071528,11.575814,10.962617,7.577109,12.969486,11.630293,11.986876,24.816999,5.242848,11.376711,12.06016,11.279896,8.88096,8.813654,9.447164,3.541234,3.744485,4.364895,3.991155,4.423663,4.13196,4.656584,2.922542,3.865911,3.766802,3.892799,9.518377,1.590015,3.161728,3.271733,3.405098,3.115532,3.902013,3.868632,5.17123,5.223543,8.476263,6.079786,5.814345,5.632283,6.483631,5.382826,5.493663,5.011771,5.226518,16.887316,2.353167,4.239018,4.579851,4.724577,4.471573,5.903314,6.019815,1
26.786022,29.005792,14.575594,25.596834,29.356257,26.15565,18.475137,9.452226,21.881695,24.623831,21.269257,7.490767,7.333116,16.162961,19.282846,16.231322,8.838428,4.004268,7.218891,19.110167,19.717362,10.15216,21.994167,27.454516,22.992973,12.148578,7.084464,18.954862,21.988244,18.206866,5.932811,6.363588,14.239985,17.101477,13.923487,8.074332,3.630993,5.946302,17.850926,18.081976,10.6085,21.160899,22.9732,20.264768,12.390245,6.056642,26.688395,22.587195,21.706527,5.751093,11.539014,25.409733,31.161538,30.433142,22.788751,11.62663,15.971036,10.228996,10.576956,12.630783,12.276912,12.071528,11.575814,10.962617,7.577109,12.969486,11.630293,11.986876,24.816999,5.242848,11.376711,12.06016,11.279896,8.88096,8.813654,9.447164,3.541234,3.744485,4.364895,3.991155,4.423663,4.13196,4.656584,2.922542,3.865911,3.766802,3.892799,9.518377,1.590015,3.161728,3.271733,3.405098,3.115532,3.902013,3.868632,5.17123,5.223543,8.476263,6.079786,5.814345,5.632283,6.483631,5.382826,5.493663,5.011771,5.226518,16.887316,2.353167,4.239018,4.579851,4.724577,4.471573,5.903314,6.019815,1
22.082934,25.579175,9.757975,19.741808,29.703496,22.259028,10.901788,4.889309,22.010553,22.249035,17.166742,6.263826,7.624944,9.824998,16.156713,13.358209,8.98401,7.640078,5.229589,9.505185,10.686116,5.345696,11.285161,15.356511,13.370623,6.551639,3.300541,11.125753,16.769044,11.856909,4.537928,5.718512,7.203853,12.496264,10.432314,7.185178,5.763552,4.191808,7.243976,7.887984,4.538413,8.170484,10.642703,10.095306,5.865542,3.875972,10.464273,12.15253,12.162537,5.050196,6.440296,8.471728,14.570251,12.552009,9.028305,6.463337,5.142446,10.590346,11.916786,7.488215,12.665377,14.221867,13.847639,8.49168,7.756076,15.071855,15.08075,19.878447,7.717129,9.191003,12.119727,18.144738,18.950982,12.668582,9.285633,7.670049,2.67978,3.00646,2.132039,3.257238,3.720001,3.419259,2.327293,2.130212,2.87705,3.595979,3.554967,2.012954,1.641873,1.855307,2.42502,2.745295,2.382447,1.698862,2.112811,4.743448,5.390352,3.767684,6.157532,5.992751,5.888007,4.348061,4.271791,4.305059,4.715407,4.423162,3.32028,2.675918,2.922213,3.44341,3.648734,3.479588,2.777193,3.611375,1
26.688599,29.093663,14.439514,24.749086,35.375717,27.299735,16.237472,13.533163,22.076823,31.403006,21.555135,9.969829,12.933585,15.708698,24.651893,21.923421,16.965152,20.291675,25.660625,18.4202,18.515211,11.406282,20.657075,30.39999,23.57299,12.408116,10.983152,20.715008,29.444417,21.611858,9.647363,13.008468,15.880471,29.140337,23.92064,18.038915,18.349981,25.968499,8.996065,9.087144,4.975204,8.841588,13.19397,11.257793,6.431747,4.85293,10.142363,13.273471,12.18385,5.792441,10.075297,11.067181,14.810455,15.280845,13.073274,17.165997,16.259666,8.298002,8.717295,4.442821,7.212731,9.124027,8.302957,5.665911,4.32056,7.810263,9.024967,8.846931,5.416153,5.818049,6.503842,8.982746,9.563454,8.516449,10.105695,12.197916,1.567229,1.738791,0.800523,1.274668,1.599697,1.522895,1.316874,0.768812,1.215831,1.887047,1.583056,1.138685,1.151009,1.201162,1.454952,1.539507,1.542443,2.718976,2.899686,2.275163,2.630348,1.015496,1.383859,1.68772,1.864129,1.895342,0.986403,1.395984,1.818297,1.967027,1.857186,1.609244,1.655235,1.845709,1.997106,2.280783,4.19081,4.72336,1
9.336465,9.056702,9.644113,10.479685,10.643856,9.64606,7.495992,6.630536,8.801331,10.288895,8.257286,5.742282,4.622575,6.622582,6.886937,5.195904,2.917377,2.672469,2.09854,10.642663,10.215547,10.020352,13.594157,14.570953,12.182696,7.842475,7.505412,11.576082,13.369206,10.334803,4.875099,4.859292,7.297264,8.378565,5.86824,2.959423,2.373668,2.088509,27.524032,25.641335,24.140947,30.350008,32.431481,27.448865,18.823337,15.825768,24.812112,27.340213,21.659814,9.061397,8.209074,13.091457,16.062471,9.958897,3.767094,6.102213,3.593896,6.287244,6.267243,6.532497,7.704618,7.648791,7.169936,5.696055,5.409116,7.334578,7.425109,6.6269,3.890285,4.272887,5.93957,5.877783,4.77696,2.827553,3.281194,2.403962,2.369611,2.509649,2.58579,3.028777,3.00605,2.917241,2.512487,2.1715,2.861633,2.924476,2.709408,1.960007,1.851999,2.113653,2.04529,1.84232,1.529823,1.732012,1.445309,2.282185,2.501537,2.457161,2.745695,2.739809,2.721408,2.506827,2.032868,2.527291,2.566951,2.488475,1.856804,1.698138,1.929541,1.896617,1.763136,1.457933,1.746013,1.461108,1
17.322948,17.349309,14.034457,20.811275,24.076799,18.993123,13.706449,8.554496,16.244203,24.047613,16.750235,8.627203,5.286888,11.134814,16.580168,12.557676,7.342362,5.940683,8.087584,6.744905,7.441346,6.22513,10.975253,13.109281,10.143502,6.970512,4.579554,9.634518,14.161331,9.60469,5.34858,3.499052,7.399171,12.130868,10.285078,5.20381,5.986975,10.965981,3.661265,4.008977,3.495726,4.475234,4.826767,4.492173,3.684935,2.300907,3.908032,4.922671,4.395338,3.023263,1.953718,3.652003,5.309379,4.787638,3.082327,3.125397,4.999585,8.70238,8.971297,9.751839,9.84761,10.039162,9.669156,9.255078,7.141713,9.152674,11.060592,9.900773,8.627062,5.955192,8.514938,10.06211,10.204849,10.079717,8.216578,16.389179,3.294638,3.427084,3.884874,3.536487,3.571527,3.538571,3.559144,2.824649,3.210443,3.887625,3.42618,3.293484,2.390103,3.031481,3.465861,3.705316,3.937456,3.301501,7.052816,4.403452,4.493828,6.005443,4.645039,4.493548,4.533142,4.746523,4.146101,4.131306,4.574017,4.295178,4.385335,3.218672,3.912018,4.424925,4.923245,5.531881,4.411194,11.256141,1
6.186264,7.112847,7.322093,5.951546,9.086616,6.250456,11.415454,3.787451,5.198267,7.431189,5.217735,3.84284,2.119971,4.330439,6.081473,5.145961,2.599072,2.346228,3.911283,5.017832,5.049367,4.905713,7.073316,9.812656,7.104885,5.869694,2.958426,5.675188,7.13875,5.302589,3.259316,1.856911,3.672414,5.349387,3.834742,2.244869,1.810639,3.837691,9.964751,9.875243,8.147417,12.794404,15.364743,13.175267,9.56948,5.752272,11.247603,15.651336,13.398379,7.236119,3.180183,8.481469,15.588776,14.842025,8.752891,5.513481,17.017924,3.506997,3.786672,3.236141,4.383744,5.779993,4.511549,4.429812,3.164729,4.532262,5.151078,4.345949,3.400497,1.765123,3.763915,5.27629,4.191878,2.763284,2.904263,4.942288,0.797626,1.403475,0.833327,1.033386,1.354274,1.477705,1.608149,0.711635,0.981476,1.167598,0.903698,0.75746,0.299266,0.55999,0.749188,0.531466,0.39402,0.583446,0.623874,1.608473,3.01807,1.77458,2.705235,3.681092,3.86475,3.377777,1.911711,2.593928,2.746178,2.194104,1.746168,0.536872,0.988706,1.166956,0.899871,0.725502,1.027178,0.981467,1
12.784872,15.922964,11.926196,10.5679,17.169113,11.334714,8.848478,5.291029,9.020478,12.348267,8.864959,5.89081,4.046559,7.279651,9.835938,10.735414,4.652308,6.107629,7.641819,5.325579,5.735788,4.446306,7.180967,11.118589,8.900804,5.01108,3.33303,7.282427,11.511205,7.622529,3.424338,3.396789,6.374876,8.461834,6.919141,3.35428,4.99404,6.524273,2.998685,3.11244,2.552337,3.578602,4.852817,4.043512,2.663868,1.851938,3.252459,4.746346,3.461923,1.792759,1.830603,3.229997,4.243553,3.531175,1.815604,3.249863,3.92249,4.021308,4.284277,3.2799,4.440035,5.514944,4.456416,3.458773,2.416323,3.804046,4.677522,3.898201,2.408594,2.373267,3.830148,4.39205,4.1507,2.596065,3.736674,6.055925,0.706473,0.778653,0.539128,0.919251,1.134735,0.825525,0.530927,0.366612,0.699619,1.112243,0.682792,0.42927,0.377174,0.60839,0.72575,0.753826,0.612745,0.775356,1.841155,0.823818,0.971637,0.619757,0.977914,1.113533,0.807158,0.593478,0.500442,0.723632,0.887579,0.685538,0.542442,0.495627,0.68783,0.79446,0.999819,0.979168,1.096289,3.093922,1
7.118342,7.155121,4.872178,5.204649,7.724356,6.590457,4.729273,3.252059,5.837604,7.264434,6.106698,4.566481,3.100757,4.997966,6.049895,4.350121,4.211384,2.403007,4.113066,3.762962,3.774489,2.857448,3.160367,4.996398,3.94056,2.503721,1.837043,3.650865,4.594695,3.685762,2.424556,1.882092,3.218954,3.902586,2.965947,2.86836,1.485466,2.863288,3.948677,4.179571,2.838264,3.152815,4.957647,4.35895,2.847712,1.71873,3.837939,4.479835,4.074313,2.771741,2.273071,3.591641,3.678732,3.061208,3.002497,3.028865,2.976932,4.976608,4.929762,3.749497,4.024776,5.166613,4.738563,3.601907,2.899366,4.284358,4.609485,4.320513,3.521287,2.937742,3.811712,3.976675,3.586903,3.539159,3.404756,3.498967,1.665007,1.752207,1.396325,1.457311,1.670018,1.640887,1.399971,1.142411,1.365283,1.605577,1.410813,1.369849,1.131069,1.209187,1.251189,1.194367,1.186873,1.463987,1.188557,2.698482,2.649101,2.196382,2.235754,2.470917,2.383907,2.207459,2.024133,2.199346,2.278607,2.20736,2.170515,2.094441,2.07756,2.115721,2.074533,2.064243,2.9124,2.087554,1
8.882444,8.879518,7.530112,9.368795,11.179367,10.357802,7.899306,6.502903,9.389077,12.225366,10.403868,7.767876,4.900132,8.153889,9.417851,9.208929,6.508288,4.427568,4.804431,8.499787,8.327665,6.843715,10.974276,13.30182,12.465722,7.201901,5.551099,10.115255,13.988326,11.707358,6.535169,5.075872,8.388445,11.007074,9.458916,6.802047,4.773213,5.575504,5.225604,5.364132,4.392754,6.255187,7.429138,7.103631,4.968683,4.150517,7.347901,8.878012,8.932499,4.679613,3.883317,6.69593,9.011217,8.272746,5.773847,5.879615,6.038049,8.604768,9.358098,8.01145,9.864306,10.80189,10.945382,12.047647,9.994881,9.492145,10.598102,10.918371,8.775515,6.118108,8.569232,9.693848,9.542445,8.333579,9.190982,9.280595,3.674771,3.798844,3.201895,3.807227,4.161953,4.340955,4.727395,3.46331,3.215077,3.613165,3.615547,3.134426,2.20919,2.635486,2.943686,3.105006,2.998357,3.601826,3.648021,4.639517,5.003704,4.416852,4.703914,4.989876,5.312921,8.982261,6.38666,4.488331,4.725829,5.498605,4.924062,3.54971,4.092309,4.571846,4.781021,4.885894,6.113832,5.86967,1
