Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Bipolar.csv_All_FCPCA,0.4375,0.7142857142857143,0.625,0.6666666666666666,0.4375,0.5634920634920636,0.4375,0.7936507936507937,0.4375,0.5158730158730158
Behavioral.csv_Delta_FC,0.7368421052631579,0.8,0.5263157894736842,0.5611111111111111,0.631578947368421,0.7111111111111111,0.6842105263157895,0.7555555555555555,0.631578947368421,0.7222222222222222
Behavioral.csv_Delta_FCPCA,0.47368421052631576,0.5,0.47368421052631576,0.4555555555555556,0.5263157894736842,0.7277777777777777,0.47368421052631576,0.7777777777777778,0.47368421052631576,0.75
Behavioral.csv_Theta_FC,0.5263157894736842,0.6888888888888889,0.5789473684210527,0.7888888888888889,0.6842105263157895,0.7999999999999999,0.5789473684210527,0.6111111111111112,0.6842105263157895,0.8
Behavioral.csv_Theta_FCPCA,0.5263157894736842,0.5555555555555556,0.5263157894736842,0.5222222222222221,0.631578947368421,0.6333333333333333,0.5263157894736842,0.7111111111111111,0.5263157894736842,0.5444444444444444
Behavioral.csv_Alpha_FC,0.5263157894736842,0.7307692307692308,0.5263157894736842,0.4038461538461538,0.42105263157894735,0.5448717948717949,0.631578947368421,0.7435897435897436,0.47368421052631576,0.5192307692307692
Behavioral.csv_Alpha_FCPCA,0.6842105263157895,0.5,0.6842105263157895,0.4487179487179487,0.7368421052631579,0.673076923076923,0.6842105263157895,0.6282051282051282,0.631578947368421,0.5320512820512819
Behavioral.csv_Beta_FC,0.631578947368421,0.7692307692307692,0.631578947368421,0.6538461538461539,0.5789473684210527,0.6602564102564102,0.5789473684210527,0.7051282051282051,0.8947368421052632,0.9871794871794872
Behavioral.csv_Beta_FCPCA,0.6842105263157895,0.5,0.6842105263157895,0.4487179487179487,0.6842105263157895,0.5641025641025641,0.6842105263157895,0.7564102564102564,0.6842105263157895,0.8461538461538461
Behavioral.csv_HighBeta_FC,0.5789473684210527,0.5499999999999999,0.47368421052631576,0.55,0.5789473684210527,0.6444444444444445,0.6842105263157895,0.6222222222222222,0.7368421052631579,0.8
