,SVM,KNN,Random Forest,Logistic Regression,XGBoost
Without PCA,0.595822410365498,0.559947030640501,0.596389432385365,0.592982067057316,0.651409937911265
With PCA,0.683387808618295,0.627616280862682,0.67051003752143,0.77983600659811,0.664764619348489
SD No PCA,0.214740295867774,0.177230412997972,0.21100329144538,0.20511329359248,0.213172715235834
SD PCA,0.166929052413563,0.150158366078972,0.173799600984537,0.14241355485685,0.178869142567631
