Disorder,Feature,MaxValue,RowLabel
Social.csv,Logistic Regression AUC,1.0,Social.csv_Theta_FC
Social.csv,Logistic Regression AUC,1.0,Social.csv_HighBeta_FC
Social.csv,XGB AUC,1.0,Social.csv_HighBeta_FC
Social.csv,XGB AUC,1.0,Social.csv_Gamma_FC
Depressive.csv,SVM AUC,0.7976190476190476,Depressive.csv_Alpha_FC
Depressive.csv,KNN AUC,0.8897058823529412,Depressive.csv_Theta_FC
Depressive.csv,Random Forest AUC,0.9166666666666669,Depressive.csv_Alpha_FC
Depressive.csv,Logistic Regression AUC,0.8952380952380952,Depressive.csv_Gamma_FCPCA
Depressive.csv,XGB AUC,0.9523809523809524,Depressive.csv_Alpha_FC
Adjustment.csv,SVM AUC,1.0,Adjustment.csv_Theta_FC
Adjustment.csv,KNN AUC,1.0,Adjustment.csv_Theta_FC
Adjustment.csv,Random Forest AUC,1.0,Adjustment.csv_HighBeta_FC
Adjustment.csv,Logistic Regression AUC,1.0,Adjustment.csv_Theta_FCPCA
Adjustment.csv,Logistic Regression AUC,1.0,Adjustment.csv_Gamma_FC
Adjustment.csv,XGB AUC,1.0,Adjustment.csv_Theta_FC
Bipolar.csv,SVM AUC,0.8666666666666666,Bipolar.csv_HighBeta_FC
Bipolar.csv,KNN AUC,0.8571428571428572,Bipolar.csv_Alpha_FC
Bipolar.csv,Random Forest AUC,0.9285714285714286,Bipolar.csv_Alpha_FC
Bipolar.csv,Logistic Regression AUC,0.95,Bipolar.csv_Theta_FCPCA
Bipolar.csv,XGB AUC,0.975,Bipolar.csv_Beta_FC
Behavioral.csv,SVM AUC,0.8295454545454546,Behavioral.csv_All_FC
Behavioral.csv,KNN AUC,0.8579545454545455,Behavioral.csv_All_FC
Behavioral.csv,Random Forest AUC,0.8352272727272728,Behavioral.csv_All_FC
Behavioral.csv,Logistic Regression AUC,0.8068181818181819,Behavioral.csv_All_FC
Behavioral.csv,XGB AUC,0.9871794871794872,Behavioral.csv_Beta_FC
PTSD.csv,SVM AUC,1.0,PTSD.csv_Alpha_FC
PTSD.csv,KNN AUC,0.8660714285714285,PTSD.csv_HighBeta_FC
PTSD.csv,Random Forest AUC,0.9910714285714286,PTSD.csv_HighBeta_FC
PTSD.csv,Logistic Regression AUC,1.0,PTSD.csv_Alpha_FC
PTSD.csv,Logistic Regression AUC,1.0,PTSD.csv_Alpha_FCPCA
PTSD.csv,Logistic Regression AUC,1.0,PTSD.csv_HighBeta_FCPCA
PTSD.csv,XGB AUC,1.0,PTSD.csv_Alpha_FC
PTSD.csv,XGB AUC,1.0,PTSD.csv_HighBeta_FC
Alcohol.csv,SVM AUC,0.9545454545454546,Alcohol.csv_Theta_FC
Alcohol.csv,KNN AUC,0.85,Alcohol.csv_All_FC
Alcohol.csv,Random Forest AUC,0.9222222222222222,Alcohol.csv_Beta_FC
Alcohol.csv,Logistic Regression AUC,0.9772727272727272,Alcohol.csv_Theta_FC
Alcohol.csv,XGB AUC,0.9545454545454546,Alcohol.csv_Theta_FC
