Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Anxiety_AEI_All_FC,0.45,0.4444444444444444,0.5,0.5303030303030303,0.6,0.5959595959595959,0.45,0.4444444444444444,0.5,0.505050505050505
Anxiety_AEI_All_FCPCA,0.65,0.6262626262626263,0.7,0.6262626262626262,0.6,0.7070707070707071,0.6,0.6363636363636364,0.65,0.6565656565656566
Mood_AEI_Delta_FC,0.6388888888888888,0.6277777777777778,0.75,0.3583333333333333,0.8055555555555556,0.35833333333333334,0.6944444444444444,0.6444444444444445,0.8333333333333334,0.22777777777777777
Mood_AEI_Delta_FCPCA,0.9166666666666666,0.8222222222222223,0.7777777777777778,0.8055555555555556,0.8055555555555556,0.888888888888889,0.9166666666666666,0.8722222222222222,0.75,0.8111111111111112
Mood_AEI_Theta_FC,0.5,0.6611111111111112,0.6388888888888888,0.4,0.8611111111111112,0.6555555555555556,0.6944444444444444,0.2777777777777778,0.8333333333333334,0.5916666666666667
Mood_AEI_Theta_FCPCA,0.9444444444444444,0.838888888888889,0.8611111111111112,0.8111111111111111,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.8388888888888889,0.8611111111111112,0.8944444444444445
Mood_AEI_Alpha_FC,0.5833333333333334,0.45000000000000007,0.75,0.5472222222222223,0.7777777777777778,0.5777777777777777,0.6666666666666666,0.34444444444444444,0.8333333333333334,0.5638888888888889
Mood_AEI_Alpha_FCPCA,0.9166666666666666,0.9500000000000001,0.8055555555555556,0.4722222222222222,0.9166666666666666,0.9277777777777777,0.9166666666666666,0.9500000000000001,0.8611111111111112,0.95
Mood_AEI_Beta_FC,0.6388888888888888,0.4888888888888889,0.7222222222222222,0.5138888888888888,0.8611111111111112,0.7472222222222222,0.6388888888888888,0.35555555555555557,0.8333333333333334,0.5888888888888889
Mood_AEI_Beta_FCPCA,0.8888888888888888,0.9277777777777778,0.8333333333333334,0.763888888888889,0.8333333333333334,0.8638888888888889,0.8888888888888888,0.9055555555555556,0.8055555555555556,0.7083333333333333
Mood_AEI_HighBeta_FC,0.6388888888888888,0.5222222222222221,0.7777777777777778,0.7611111111111111,0.7777777777777778,0.6916666666666668,0.7222222222222222,0.7944444444444445,0.8055555555555556,0.5583333333333333
Mood_AEI_HighBeta_FCPCA,0.8611111111111112,0.9166666666666666,0.8333333333333334,0.8750000000000001,0.8611111111111112,0.8083333333333333,0.8611111111111112,0.9500000000000001,0.8888888888888888,0.888888888888889
Mood_AEI_Gamma_FC,0.6666666666666666,0.6444444444444445,0.7777777777777778,0.3388888888888889,0.7777777777777778,0.26388888888888884,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.4305555555555556
Mood_AEI_Gamma_FCPCA,0.8333333333333334,0.9055555555555556,0.8055555555555556,0.638888888888889,0.8055555555555556,0.7250000000000001,0.8611111111111112,0.9277777777777778,0.8888888888888888,0.8333333333333333
Mood_AEI_All_FC,0.6944444444444444,0.5444444444444445,0.7222222222222222,0.4027777777777778,0.75,0.48333333333333334,0.6388888888888888,0.5444444444444444,0.7777777777777778,0.6333333333333333
Mood_AEI_All_FCPCA,0.8055555555555556,0.6777777777777778,0.75,0.6833333333333333,0.9166666666666666,0.8083333333333333,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.6833333333333333
OCD_AEI_Delta_FC,0.42857142857142855,0.33333333333333337,0.5,0.5208333333333333,0.42857142857142855,0.40625,0.42857142857142855,0.375,0.42857142857142855,0.48958333333333337
OCD_AEI_Delta_FCPCA,0.9285714285714286,0.9166666666666666,0.6428571428571429,0.84375,1.0,1.0,0.8571428571428571,0.9166666666666667,1.0,1.0
OCD_AEI_Theta_FC,0.2857142857142857,0.3125,0.21428571428571427,0.3333333333333333,0.2857142857142857,0.28125,0.2857142857142857,0.31250000000000006,0.42857142857142855,0.3541666666666667
OCD_AEI_Theta_FCPCA,1.0,1.0,0.9285714285714286,0.9791666666666667,1.0,1.0,1.0,1.0,1.0,1.0
OCD_AEI_Alpha_FC,0.5,0.5,0.35714285714285715,0.46875,0.5,0.5,0.5,0.5833333333333333,0.42857142857142855,0.36458333333333337
OCD_AEI_Alpha_FCPCA,0.7857142857142857,0.875,0.6428571428571429,0.7395833333333334,1.0,1.0,0.7142857142857143,0.9166666666666666,1.0,1.0
OCD_AEI_Beta_FC,0.5,0.6458333333333333,0.5,0.46875,0.5,0.4895833333333333,0.5,0.625,0.42857142857142855,0.28125
OCD_AEI_Beta_FCPCA,0.7142857142857143,0.8541666666666666,0.7857142857142857,0.9791666666666666,1.0,1.0,0.7142857142857143,0.8333333333333334,1.0,1.0
OCD_AEI_HighBeta_FC,0.42857142857142855,0.20833333333333331,0.6428571428571429,0.5625,0.42857142857142855,0.44791666666666663,0.42857142857142855,0.20833333333333331,0.35714285714285715,0.375
