0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
11.906893,9.707117,12.455193,14.208682,14.626761,19.885365,9.794286,10.791723,14.538729,16.021149,9.253709,7.984322,9.710086,11.943535,11.705368,15.139476,18.264828,23.640965,7.282898,28.480289,23.986359,23.935445,32.918343,35.030041,32.974384,16.660965,21.740756,27.330023,33.434137,20.850376,9.927816,9.941019,15.694672,22.32492,20.412515,27.223784,24.611336,10.774438,55.787526,50.919888,44.842615,63.846455,68.90185,63.399784,33.590518,34.432287,56.800068,70.223661,55.088841,20.538684,18.703668,40.305336,54.029889,44.943261,59.20941,53.377426,23.719961,50.044436,45.225804,43.643619,68.463021,60.18406,56.315558,23.57216,21.04744,51.696492,57.283992,42.230154,14.788907,12.718767,28.10745,31.454957,25.998452,20.231175,19.96608,11.071319,5.767133,5.135059,6.553146,10.282506,8.794271,8.525524,3.149713,2.772712,6.565093,8.633014,4.025593,1.655127,1.354249,2.457761,2.693119,2.436035,1.851921,1.869094,1.032283,3.621352,3.263618,2.897675,5.089308,4.801242,4.790069,2.149456,2.787431,3.712043,4.428844,2.352745,1.488332,1.223516,2.148026,2.133321,1.988456,1.961895,2.190058,1.163529,1
19.849686,15.705436,17.863425,25.39494,23.916326,17.032967,9.657933,12.490481,20.777722,22.212582,12.741725,6.687449,13.954295,16.458845,30.767789,14.459786,9.518459,18.063514,16.561508,21.724449,16.316919,15.422614,28.970609,27.914567,18.360047,9.349244,10.649666,22.501319,25.559565,12.527029,5.649222,11.831658,18.109444,27.282317,16.100499,9.134068,22.15741,21.911953,28.568851,23.311438,21.304497,33.333857,32.960351,23.866055,12.022943,15.383143,31.508644,34.787031,18.113414,6.00384,17.317533,33.622817,46.018043,30.519515,25.852927,42.618862,30.904575,14.734307,11.764124,11.987704,19.327376,18.169109,11.326126,5.992097,7.445639,15.894318,18.857361,9.746502,3.484731,8.326139,14.601896,20.951134,13.302743,7.852547,15.940975,12.934347,2.418536,2.39673,2.578792,3.161669,2.909798,2.256958,1.25987,1.387401,2.787671,3.118112,1.571342,0.646172,1.199703,1.675401,2.365499,1.278331,0.824772,1.415276,1.160918,1.936622,2.203878,2.539305,2.110392,1.995468,1.913665,1.191673,1.332759,1.808276,1.972278,1.417142,0.665443,1.313583,1.441716,2.511716,1.252936,0.966095,1.656613,1.544102,1
28.675766,25.368575,25.9124,29.496788,27.661687,26.305027,19.173514,17.640138,24.604395,26.467604,26.528163,17.580784,19.539088,21.673948,24.493973,24.927151,24.718999,35.349165,10.736884,33.319825,24.042866,24.652341,26.875761,25.205925,20.767244,12.46493,13.186024,20.285805,21.394471,20.229984,11.815774,13.990451,18.082167,20.365926,20.721344,19.875342,22.38459,8.916474,11.35884,10.173941,9.877541,12.054851,11.645786,11.633163,7.349685,6.293791,12.120274,13.879305,16.594021,6.702021,13.439887,30.225541,47.208567,47.635302,30.472904,40.881012,22.054563,12.61371,12.227861,12.519695,11.402877,10.988259,11.733907,8.114225,6.865442,9.673333,10.700527,12.274108,7.3292,9.664369,12.60187,16.627438,16.946858,16.851903,18.820502,13.125719,1.749411,1.909825,1.853571,1.624021,1.56267,1.905095,1.680191,1.425611,1.472847,1.655083,1.782559,1.515778,1.678453,1.524529,1.973846,2.01328,2.835677,2.712674,2.962868,2.348855,2.322456,2.382215,2.422882,2.303146,2.439392,2.285261,2.251544,2.334367,2.477385,2.760519,2.54866,2.739717,2.526764,3.210613,3.251916,4.794702,4.3999,5.954296,1
12.187185,22.798506,14.977824,13.852327,21.125052,12.611427,21.302096,6.572976,20.665939,21.24582,16.598493,7.522122,6.295162,9.524227,13.117128,15.822964,3.478849,15.785743,8.425493,12.865553,17.569345,10.445326,13.690348,16.882994,12.952089,11.961372,4.741311,15.817281,18.394645,12.439602,4.385692,2.644627,10.040296,11.364216,12.69381,2.897871,5.877189,4.813187,57.565162,58.583644,44.705955,66.258873,73.075391,61.483848,37.733389,22.988803,72.331905,77.628194,48.756741,12.211715,10.404694,53.288034,47.565936,55.895958,11.687684,16.497914,15.686307,15.216713,19.034409,12.400363,16.387378,18.67269,16.536284,13.189996,6.836226,21.092038,22.211455,16.93445,5.181181,3.793867,15.377189,15.111732,17.253325,4.04734,7.110467,6.315012,1.278858,1.804034,1.083954,1.401704,1.877801,1.604494,1.387537,0.608211,1.571278,1.76427,1.451899,0.584444,0.383924,1.112824,1.216761,1.487669,0.438609,1.139257,0.971195,0.555644,0.869568,0.51668,0.600019,0.758106,0.65894,0.74649,0.360505,0.790265,0.860311,0.663586,0.298391,0.252941,0.569082,0.60106,0.706995,0.239626,0.877906,0.625615,1
7.414042,7.173058,9.649153,9.03375,9.068607,10.328719,8.348353,9.806957,10.604456,10.063808,17.656528,8.876044,9.467346,17.847558,27.800686,17.286933,6.787,23.93041,8.196573,6.741956,6.544876,6.021747,7.870324,9.114291,8.502469,5.861192,5.047192,7.879917,8.713441,11.045057,4.321936,5.231381,8.797013,19.820752,10.106297,4.105953,11.154206,5.694987,18.865159,18.318825,15.403634,21.906237,24.680178,23.214242,15.847791,12.09372,23.960357,28.863084,25.06845,10.855935,16.430499,29.710176,37.233456,29.297684,16.329247,44.142402,42.612271,12.466859,10.518334,9.711743,12.768488,13.758046,13.950196,10.760166,11.980484,17.197016,18.281573,21.69366,9.893728,14.554879,24.58336,30.84352,23.756309,12.723391,28.366003,21.88081,1.977427,1.707401,1.761351,1.805375,1.849975,1.803337,1.660481,2.137669,1.818108,1.929994,2.105219,1.514721,1.60005,2.01242,2.704804,2.020438,1.398396,2.142624,1.734795,1.638378,1.412509,1.429734,1.37219,1.352941,1.341904,1.363518,1.763603,1.39335,1.368654,1.540043,1.307056,1.386081,1.49644,1.78347,1.47179,1.15627,1.741482,1.372981,1
24.25424,28.489708,22.630097,24.610638,24.478943,28.355757,27.696426,18.685685,23.465211,25.399266,23.430669,30.148472,19.306382,22.666564,25.108273,25.911228,24.391627,21.283417,25.649772,19.700502,22.519475,16.985953,20.038391,20.978616,18.795718,17.603423,12.683561,17.555845,18.506863,18.084817,19.494691,11.856386,16.372345,16.578529,17.606618,15.647862,12.78717,14.63038,21.919786,24.368195,17.364102,24.25117,25.33018,24.574274,19.444951,10.994942,21.462291,25.862129,25.050423,21.387473,11.084579,23.071925,28.645877,28.448463,20.122178,18.79099,12.108445,41.599982,50.180051,36.058249,44.431138,45.536639,47.959657,40.557896,25.342624,44.872027,39.930271,45.694536,39.960347,18.467207,31.569202,35.032215,39.034908,37.979566,21.680256,25.450795,9.63835,11.17497,9.380898,13.401135,13.248218,11.871643,8.755391,5.999424,9.271058,10.650374,9.702157,8.006057,4.994653,6.912774,7.899842,7.926034,7.545135,5.5562,6.471022,7.14281,8.492616,6.61307,7.301489,7.461068,6.640977,6.607852,4.678313,5.800963,6.229038,5.843575,6.233657,3.947196,5.020267,5.531465,5.603146,5.751273,4.793988,5.20205,1
14.64494,14.570681,13.731359,10.879896,16.938186,18.366489,18.834494,7.305407,9.449549,13.130418,12.213328,9.244553,11.177193,25.344524,10.093476,14.213297,10.081064,8.279705,11.598377,19.144537,18.218044,9.291595,13.081024,20.836696,17.039817,12.624541,4.559502,8.97546,17.68127,14.293457,9.789347,4.093833,23.600246,11.023333,12.875553,9.124733,4.032889,6.432468,48.535999,45.60555,24.706691,38.524628,53.861459,44.264999,26.623829,9.423507,25.058151,58.146884,43.632139,28.028535,6.082717,37.792127,33.784873,36.661919,49.132667,9.544793,14.422901,17.708961,15.966044,11.371317,18.069534,22.052971,31.614644,17.487879,8.656112,33.944279,115.94905,80.997407,24.31936,7.353951,54.684467,74.339629,55.810835,24.74471,9.201151,12.254084,1.132154,1.196105,1.103265,1.254035,1.831708,1.541206,1.115529,0.830841,1.181286,2.291326,1.647908,0.947712,0.47006,1.978463,1.290802,1.246381,0.877276,0.481521,0.658213,0.559074,0.554855,0.591929,0.539536,0.724253,0.630781,0.5138,0.69829,0.523737,0.784034,0.635339,0.431408,0.296271,1.104209,0.51479,0.540442,0.442399,0.300771,0.411511,1
22.225112,32.080652,18.953387,25.191704,24.780691,26.60326,19.547259,16.802304,30.319532,23.18428,21.199078,20.925062,26.722693,27.335803,23.129614,17.218203,17.657422,15.337885,26.7065,15.70633,20.141155,12.623835,17.217157,18.065013,18.471038,11.030804,10.119539,18.516074,15.638927,13.606586,9.396112,20.03112,15.969762,13.902191,10.100287,9.997078,9.515979,14.022567,5.904027,7.877622,5.241228,6.611996,6.938083,7.350591,4.759024,4.427621,9.022956,6.494749,6.69156,4.656523,8.939123,8.394073,6.885947,5.468551,7.292824,6.438552,8.99626,9.386783,13.15772,8.557202,11.43735,10.857949,11.843087,10.051199,7.965747,13.818318,10.69153,10.431171,8.42056,15.543151,14.62358,11.375511,9.192231,12.643949,14.942423,14.967508,1.656138,2.244487,1.497034,1.836004,1.722629,2.036927,1.878081,1.651765,2.260147,1.63355,1.780548,1.732915,2.88361,2.1608,1.677831,1.509696,2.128296,2.670084,2.523052,2.52664,3.640447,2.340134,2.615156,2.516834,2.894066,3.325935,2.536937,3.095563,2.468996,2.490744,2.757747,3.67957,3.121737,2.798464,2.58715,2.766304,5.11145,4.519901,1
27.026744,19.648922,15.678712,23.038897,32.19187,17.525997,17.685324,12.871289,25.260799,22.590676,21.903154,14.891855,9.517211,16.71322,29.756029,35.101326,10.435009,15.18159,13.191458,28.203367,24.439565,13.334906,24.002005,39.836596,21.810394,17.773899,9.062888,19.786808,21.812932,22.341998,13.837537,7.209299,12.229339,20.625809,31.371414,10.335524,9.493107,11.003159,31.538404,27.433539,19.354717,33.101896,40.294803,25.077255,20.397575,14.699909,30.889992,35.64328,32.048621,19.127785,13.417432,30.307021,34.340528,46.97239,24.312873,14.3472,20.073216,26.490448,17.615269,12.176807,19.464813,27.380576,15.437087,15.896493,8.236235,16.675504,16.610323,16.305598,11.192103,6.580646,13.005291,18.438018,21.234691,8.885688,9.554658,8.979915,5.166143,2.525214,2.178875,3.187617,4.20786,2.06583,2.521159,1.407667,2.349886,2.219413,1.895443,1.536227,1.126778,1.665698,2.493139,2.919755,1.601525,2.035558,1.498999,1.554172,0.742416,0.636601,0.992583,1.22195,0.601535,0.684646,0.404665,0.70457,0.66615,0.576927,0.492821,0.353549,0.527452,0.850345,0.925408,0.520544,0.65663,0.523973,1
11.728377,10.754505,8.668374,8.899037,10.653622,10.037112,7.69155,5.593611,8.311222,8.55507,6.773779,4.762344,4.937837,10.967341,6.255188,5.404387,3.293043,4.684665,4.158532,9.474557,10.763918,6.365468,9.244848,11.477048,9.64252,4.99917,4.216248,8.596519,9.519867,6.214459,2.910419,3.918862,6.954587,5.468826,4.650318,1.961398,3.390243,2.740069,48.792436,53.367759,31.362638,42.911618,54.367702,49.923029,31.329445,14.866097,39.903899,44.907756,32.495138,14.236068,13.547487,28.850337,33.668093,23.848447,9.534758,15.902844,17.702154,8.832982,9.086207,8.449558,8.100868,9.237601,9.462031,7.25039,4.679835,7.884012,8.045783,6.950491,3.984725,4.685258,7.65878,8.623127,6.976411,3.180541,5.541094,6.184347,0.975728,0.846414,1.315014,0.748256,0.833615,1.1837,1.130184,0.517934,0.68756,0.621258,0.675352,0.477347,0.480983,0.519541,0.459049,0.460231,0.326343,0.397631,0.448343,0.588461,0.548537,1.10223,0.516272,0.552297,0.922396,0.837042,0.28958,0.474541,0.425142,0.506298,0.413834,0.275418,0.323372,0.28556,0.285272,0.191063,0.239072,0.302333,1
