0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
8.806012,8.728536,8.184706,9.487932,7.914895,12.346096,8.346585,5.157823,8.185906,10.845967,11.330032,5.64514,3.878399,11.896569,8.345507,8.142855,4.741787,4.15527,4.936662,7.762937,8.410735,6.556337,9.342321,9.068329,12.318395,7.662186,4.311399,7.186326,14.645861,11.251322,5.175687,3.547026,7.536688,8.177582,7.73249,4.231125,3.16703,3.846431,53.223207,52.382744,32.195419,50.865511,54.564771,63.329161,36.330407,16.547897,32.787958,64.207959,55.455069,19.903227,17.038483,21.36011,41.971408,46.844632,20.755046,16.090596,21.721387,14.406119,14.820626,10.685279,16.058027,14.656727,18.259638,14.184846,8.194753,15.843731,19.458498,20.012122,10.44417,6.939411,13.774585,18.527769,18.643557,8.984195,7.613629,8.816709,1.864899,1.984012,1.687923,2.154691,1.808779,2.211294,1.850388,1.399778,2.109808,2.303107,2.038562,1.470995,1.464424,1.533947,1.613088,1.590014,1.232562,1.14917,1.274325,1.083232,1.150647,1.021688,1.076611,0.954513,1.055399,1.031593,0.983301,1.425822,1.060464,1.016373,0.945866,0.89436,0.891776,0.868746,0.892953,0.797447,0.752082,0.867675,1
19.687536,21.053213,16.062682,17.960994,19.669073,20.735947,39.87028,18.926313,17.809656,19.513817,17.440097,14.485124,15.718007,24.438637,23.207845,19.24573,15.291793,22.176146,16.791912,6.763273,7.619621,5.321752,7.626128,8.415083,8.308503,15.549507,6.098878,6.979167,8.044212,6.83516,4.516641,4.782852,7.892702,8.317144,7.015218,4.812092,7.666433,5.591935,26.033275,27.77159,17.18392,29.428157,34.249217,31.576114,24.481477,9.396771,25.336639,33.094165,26.332336,11.386608,19.385011,27.365594,20.993267,24.968019,12.718362,38.831753,18.72406,7.384618,8.193408,5.87137,8.310089,8.916983,8.920713,12.211877,5.123539,8.214361,8.899342,7.741441,4.707112,5.612282,8.873511,8.109735,8.393536,5.737588,9.742227,6.19514,0.62455,0.673811,0.599766,0.543488,0.57049,0.613842,1.530703,0.4822,0.526043,0.619298,0.517071,0.426088,0.407072,0.598058,0.653149,0.482512,0.421251,0.596535,0.406725,0.65968,0.799627,0.707483,0.523152,0.545203,0.638999,2.032055,0.503771,0.464046,0.511969,0.499804,0.50939,0.413169,0.540863,0.612988,0.486718,0.44606,0.623195,0.41254,1
12.549356,13.895915,8.543582,12.342167,13.963302,13.573024,11.864435,4.095711,8.685449,11.416966,9.57685,7.386855,10.361978,6.859511,8.473798,7.938631,7.182771,4.426845,5.382983,19.495014,20.895963,11.966885,23.44312,27.984667,26.594251,17.966419,7.091901,15.873336,21.938933,19.368017,13.619148,13.573975,14.458185,19.115061,20.691095,18.271175,8.456222,12.332665,103.226591,101.414134,52.877178,103.878896,127.557929,109.632394,64.063041,24.83029,66.81504,89.099604,69.611238,29.48034,62.122218,99.723602,90.934677,122.800893,63.525286,95.90409,104.246201,9.152871,9.706815,6.451663,11.068505,12.486787,12.331685,8.828588,5.062614,8.864519,10.717028,10.078176,11.39583,9.481002,10.245029,10.643416,13.53341,10.225503,8.69037,11.334847,0.664549,0.718746,0.558033,0.729997,0.79633,0.794463,0.763554,0.591198,0.639296,0.74935,0.750576,1.270716,1.092794,0.734088,0.757703,0.872373,1.251939,0.917938,1.264052,0.628112,0.718122,0.531564,0.641711,0.701119,0.718843,0.77695,0.619561,0.612661,0.710442,0.744419,1.729202,1.084385,0.697788,0.75624,0.897299,1.27864,1.036369,1.796778,1
13.536442,12.192598,14.876879,11.120828,12.158541,12.158971,24.338391,10.948982,14.991836,14.419748,14.441469,9.992235,11.846976,12.418183,14.885577,15.948155,6.312886,11.689482,18.612165,6.318594,6.048226,5.836496,5.168824,5.554565,5.576185,11.962065,5.109635,6.386593,6.079454,6.315208,4.103747,5.100447,5.377126,6.258358,6.904271,2.626422,5.43894,7.789779,5.793796,5.973404,4.009219,5.359206,6.001467,6.02474,8.027557,3.373045,6.348706,7.184061,7.093277,3.796136,5.784285,8.580487,9.737792,9.136682,3.14986,7.560428,9.664969,11.437776,12.30748,7.685776,13.118264,13.608358,13.626265,13.648233,7.402413,13.658768,15.963003,15.740564,9.646708,9.316191,15.922446,18.434429,18.264682,6.284843,11.750962,16.19117,1.51243,1.584459,1.027255,1.883525,1.865274,1.875403,1.750483,1.121161,1.648908,2.353384,2.033473,1.555634,1.083499,1.239709,1.520691,1.593947,0.634836,1.086898,1.376155,0.879174,0.897635,0.607378,0.970727,1.052002,1.052482,0.956856,0.672196,0.880057,1.095004,1.058296,1.009297,0.664108,0.703869,0.822854,0.903279,0.398015,0.715073,0.879072,1
14.78353,16.641198,10.17826,15.411346,19.432627,17.200055,10.226245,9.488589,13.950312,17.188786,13.058701,7.350693,9.17376,14.511957,16.689079,14.126853,12.000153,11.557089,9.982726,8.178091,8.086098,6.396874,9.996262,12.316536,10.037813,5.175172,4.945693,8.515711,9.921945,7.487195,3.08037,4.497695,7.87568,9.007313,6.991756,4.014469,5.324784,4.162428,3.176836,3.118626,2.685782,3.718528,4.637553,3.868441,2.196766,2.238582,3.238084,3.683927,2.889423,1.455734,2.032483,3.014936,3.26561,2.633725,1.939429,2.045146,1.793496,4.727803,4.144384,7.015436,4.926863,5.39478,4.787464,4.017299,4.15902,4.413108,4.471612,4.022608,2.748357,4.696335,4.17376,4.329839,3.705318,3.37067,3.622052,3.313574,1.722978,1.37532,2.937888,2.187855,2.039708,1.93244,1.678395,1.568341,1.775099,1.424561,1.46483,0.887159,1.237292,1.214944,1.085285,0.967678,0.91207,0.977993,0.905617,1.782136,1.398876,3.296304,1.880177,1.891953,1.713452,1.671018,1.641817,1.564129,1.532346,1.333549,1.134798,1.666376,1.312174,1.251403,1.130906,1.039988,1.319577,1.384463,1
13.772956,18.044757,14.731018,24.128143,19.918119,23.635802,16.109486,10.782893,18.464091,29.838923,19.272543,12.350618,12.788131,19.740106,24.193097,20.722742,17.261304,16.21687,12.093758,7.8346,10.36992,7.169425,12.925805,11.933725,12.361157,8.762754,5.75609,9.812138,16.267501,10.48734,6.851905,6.166655,9.724141,10.873508,10.70976,11.029046,7.013081,6.53882,5.686542,7.161839,4.370996,7.89935,8.085734,8.721267,5.901534,3.306892,6.348507,10.091314,7.427104,4.537631,4.838138,7.033232,8.356165,8.304704,7.096305,5.520896,6.503366,6.573216,8.701731,5.792456,10.118519,10.095706,10.187781,7.349153,4.259921,7.302876,11.552549,7.915181,5.550518,4.860379,7.657996,8.040842,8.253623,8.13933,7.408811,10.892875,1.044125,1.403965,0.920983,1.947371,2.173986,1.928615,1.106132,0.556288,1.039472,1.784529,1.159112,0.769699,0.561971,0.93512,0.898281,0.937262,0.91578,1.150823,1.866134,0.464254,0.653328,0.430171,0.781383,0.791813,0.851295,0.548882,0.336588,0.526906,0.904021,0.588985,0.435418,0.368443,0.565054,0.552071,0.54668,0.55774,0.905551,1.893284,1
18.367997,18.928942,16.308323,19.438628,21.971442,19.438451,10.869372,10.434928,15.066588,17.613287,14.942841,10.419266,9.452907,13.561321,14.190954,13.750047,10.01672,8.083844,7.851994,10.404456,11.429845,6.073849,10.272693,12.233913,10.946473,5.260254,4.865179,7.420961,8.560252,7.432137,4.69847,4.191451,6.714678,7.973301,7.110087,4.737462,3.614709,3.93891,8.388573,8.912956,4.503033,8.152899,9.883154,8.785693,3.890653,3.61702,6.700913,10.132279,7.875821,3.962425,6.603058,13.46611,15.926951,11.734446,8.269852,7.950606,6.018326,7.473499,8.10584,4.265541,7.444288,8.066402,7.310025,3.776661,3.625955,6.575476,7.305788,6.306524,3.571337,4.299999,7.948847,9.127208,7.643765,5.399001,6.384681,5.924444,1.383535,1.465779,0.761187,1.589576,1.883439,1.610121,0.660289,0.530187,1.0793,1.099855,1.036263,0.618955,0.487039,0.837891,0.825168,0.808176,0.602285,1.16155,0.931556,0.575072,0.622234,0.331925,0.585423,0.756207,0.620095,0.278604,0.238611,0.377967,0.424748,0.374591,0.241217,0.260634,0.361009,0.376123,0.350628,0.277393,0.907341,0.647009,1
15.381766,22.490695,12.192245,13.199731,16.472602,14.495752,10.115313,17.832463,10.886679,15.567769,11.181222,8.596868,7.21043,11.833449,16.249769,10.933311,11.320673,7.645145,8.456984,7.986684,9.876407,6.727178,9.405702,11.570296,9.918586,6.241165,7.803974,7.573592,10.731944,7.081136,4.462904,4.047853,6.126338,10.582483,5.827378,4.015743,4.122237,4.333694,3.746867,4.755552,3.069207,3.980344,5.27114,4.664587,2.938549,3.010683,3.563073,5.223075,3.854587,2.440361,2.105595,3.377454,5.206189,3.671526,2.31947,2.72023,3.080611,7.923163,9.948801,6.464819,8.276551,10.013253,9.318321,6.625741,6.57824,7.462671,8.91176,7.354094,5.256715,5.331251,6.839961,8.726078,6.501091,4.454665,6.21329,5.288712,1.598129,2.306814,1.190425,1.909201,2.440495,2.090791,1.105222,0.979921,1.607212,2.194805,1.476613,0.847386,1.094885,1.413122,1.461746,1.156264,0.861723,1.47099,0.963238,1.01832,2.666385,0.722093,0.990545,1.336247,1.079853,0.581604,0.501901,0.893033,1.929768,0.843603,0.462241,0.511512,0.601815,0.773558,0.579726,0.456886,0.878054,0.534638,1
24.354925,21.494887,19.75409,14.606069,17.473222,17.480209,14.269728,6.318901,14.978667,18.266725,14.074461,9.299356,5.671342,12.901418,11.293357,13.709247,9.876089,12.177961,14.359233,10.398537,10.999763,7.945214,11.179638,12.999649,13.024359,9.206803,4.354395,10.812759,14.282123,11.275829,7.417248,4.039261,9.720677,8.982689,11.271966,7.66059,11.547886,12.565877,32.709639,33.439491,21.885682,39.933597,44.544441,44.548093,26.444225,14.887713,40.925102,51.768798,40.795445,20.34346,23.220532,59.442375,36.125684,46.760052,19.543522,70.680495,58.854502,8.725901,8.885811,6.421093,8.891443,9.792777,9.805876,7.133757,4.148123,8.516115,10.130503,8.671592,5.862488,4.842715,9.732404,7.029792,9.08881,6.734395,12.934838,11.722626,1.07347,1.069212,0.858568,1.157603,1.200067,1.198871,0.959967,0.616482,1.092217,1.358868,1.001102,0.725688,0.611288,0.898769,0.796425,0.915026,0.801031,1.27275,1.066917,0.66192,0.611866,0.515651,0.525566,0.538918,0.540758,0.483261,0.380957,0.53347,0.581784,0.479542,0.396613,0.42795,0.575814,0.480124,0.499872,0.487775,0.940118,0.72026,1
11.988039,12.395577,10.707178,16.151995,27.719811,25.912523,11.064547,9.18566,13.826088,13.77684,16.70135,18.155528,5.691496,11.409347,17.762612,15.529741,7.733948,5.482298,4.384043,16.155355,14.429511,11.486426,17.685395,20.250563,19.661839,9.12306,7.846618,13.906289,13.653059,13.602858,8.665018,5.980149,12.872011,14.622708,12.854298,4.911925,7.098628,4.749171,50.986346,46.544089,39.736998,66.306799,67.829686,56.851142,30.852368,25.366606,85.834861,84.612107,52.245406,16.868744,37.40015,167.332773,116.624545,134.365853,19.196101,90.595462,60.507719,21.076869,18.678789,18.452958,29.922193,30.386936,28.120013,14.770824,16.348175,46.43235,39.713879,32.587688,11.998149,17.054756,50.77583,40.38769,38.112793,8.868786,37.088207,17.224388,1.988731,1.943902,1.52968,2.403192,2.516571,2.618866,1.612413,1.077544,2.778735,2.18397,3.283482,1.265124,1.211868,2.166618,1.928196,2.434889,0.828191,4.116279,1.644365,0.947462,0.919734,0.695801,1.172347,1.523906,1.389485,0.730764,0.567598,1.154714,1.112348,1.081326,0.777691,1.016239,1.830281,1.299526,1.431713,0.467628,5.003741,1.571243,1
